longitude,latitude,YR,MO,X,Y,TOT
-73.75570662057252,40.60038104398559,2014,3,1052089,158106,1.0
-73.91706442981295,40.74186246036007,2014,3,1007232,209568,2.0
-73.75570282246537,40.75200017864773,2014,3,1051936,213345,2.0
-73.73334543889727,40.76950330729051,2014,3,1058111,219740,1.0
-73.910801734694,40.74572787989276,2014,3,1008966,210978,1.0
-73.90900679735981,40.71497147695765,2014,3,1009475,199773,1.0
-73.9015635339452,40.730626952660394,2014,3,1011532,205479,1.0
-73.83013930521312,40.75956952596002,2014,7,1031307,216054,1.0
-73.78193142122596,40.75201164835988,2014,3,1044669,213330,1.0
-74.07163887551884,40.61302209665503,2014,3,964360,162625,1.0
-74.07858401346395,40.60771461317364,2014,3,962430,160693,2.0
-74.09149938356796,40.618593659905876,2014,3,958848,164660,1.0
-73.91296949873716,40.80742576219332,2014,3,1008343,233456,1.0
-73.81577172038429,40.827809019506304,2014,3,1035235,240924,1.0
-73.88709582786804,40.81319195063761,2014,3,1015503,235565,1.0
-73.91436556541686,40.808889745906676,2014,3,1007956,233989,1.0
-73.90175043402967,40.831449515402326,2014,3,1011439,242212,1.0
-73.91107684611606,40.81810677871246,2014,3,1008863,237348,1.0
-73.99780628516385,40.730147502434455,2014,6,984858,205289,1.0
-73.99012715905502,40.71338211533367,2014,7,986987,199181,1.0
-73.91823585075913,40.819467969143375,2014,3,1006881,237842,1.0
-73.99393803254901,40.61541301762097,2014,3,985933,163488,1.0
-73.94315821543692,40.700575158646394,2014,3,1000011,194520,3.0
-73.98617220782947,40.61621931492129,2014,3,988089,163782,1.0
-74.02681621802319,40.63385778727639,2014,3,976807,170209,1.0
-73.99108496406211,40.61824271307769,2014,3,986725,164519,1.0
-73.8861107185278,40.6309773767051,2014,3,1015862,169179,1.0
-73.96009916370265,40.577895836017966,2014,3,995334,149822,1.0
-73.88918191409842,40.6646836016739,2014,3,1014994,181458,1.0
-74.01931319725477,40.639985656796945,2014,3,978890,172441,1.0
-73.91618270562475,40.808789526541574,2014,7,1007453,233952,1.0
-73.99598828041898,40.66241757127105,2014,3,985363,180613,1.0
-73.95266072638573,40.69122528934789,2014,3,997378,191112,1.0
-73.9342748002206,40.68659680803403,2014,3,1002478,189429,1.0
-73.9547220393754,40.65597770984633,2014,3,996813,178270,1.0
-73.92434155948509,40.71154338865067,2014,3,1005225,198520,1.0
-73.96528679679379,40.71596835966902,2014,3,993873,200125,1.0
-73.98051401883508,40.614725327539446,2014,3,989660,163238,1.0
-73.89436173591734,40.6805587792859,2014,3,1013550,187240,1.0
-73.8947982491754,40.65982512305137,2014,3,1013438,179686,1.0
-74.00976535569069,40.66912271914982,2014,3,981541,183056,1.0
-73.97782610922516,40.69343693926769,2014,7,990399,191915,1.0
-73.95171152762185,40.697345729270886,2014,3,997640,193342,1.0
-73.996280296842,40.72600837103333,2014,3,985281,203781,3.0
-73.97742914302471,40.75822410392314,2014,3,990503,215519,3.0
-73.97484596792148,40.79301037048244,2014,3,991215,228193,1.0
-73.94687922457328,40.76504847890268,2014,3,998965,218009,1.0
-74.00754570434732,40.70889460492725,2014,3,982158,197546,1.0
-73.99577276667792,40.764314077905034,2014,3,985421,217737,1.0
-73.97667923943952,40.72474073636673,2014,3,990714,203320,1.0
-73.95782263685777,40.81956060759957,2014,3,995924,237868,2.0
-74.00597936689311,40.73875491570316,2014,3,982593,208425,1.0
-73.95000070946757,40.67520567175259,2014,7,998119,185276,1.0
-73.99426247022663,40.73800835540619,2014,3,985840,208153,1.0
-73.85208934589122,40.71913112185044,2014,3,1025251,201310,1.0
-73.81469254651607,40.736544671257874,2014,3,1035604,207674,1.0
-73.8464683220184,40.71153997736587,2014,3,1026814,198547,1.0
-73.88766133645574,40.69646662398245,2014,3,1015401,193038,1.0
-73.87048983160646,40.70867652544026,2014,3,1020156,197493,1.0
-73.74211502453441,40.59600357001551,2014,3,1055868,156522,1.0
-73.89909963405672,40.718421620382436,2014,3,1012220,201033,1.0
-73.86219649677261,40.71963497560598,2014,3,1022449,201489,1.0
-73.77821828433814,40.74417925611499,2014,3,1045705,210479,1.0
-73.91067758625714,40.70104584831892,2014,7,1009017,194699,1.0
-73.89798430138559,40.7494720589606,2014,3,1012516,212346,1.0
-73.88789929479496,40.71794739471015,2014,3,1015325,200864,1.0
-73.89225015874301,40.719988162023895,2014,3,1014118,201606,1.0
-74.17570337485438,40.54556626527747,2014,3,935418,138090,1.0
-74.13120877624942,40.6114269585828,2014,3,947820,162063,1.0
-74.16453608517119,40.62353804644953,2014,3,938575,166491,2.0
-74.23582207308606,40.51429655044903,2014,3,918679,126737,1.0
-73.90232858010965,40.821621175643386,2014,3,1011283,238631,2.0
-73.87273126344547,40.821224514650396,2014,3,1019475,238497,1.0
-73.84845133503708,40.905479455170166,2014,3,1026142,269205,1.0
-73.93424121007818,40.848627053205796,2014,7,1002443,248462,1.0
-73.89465775034012,40.83324378753288,2014,3,1013401,242868,1.0
-73.90394930252336,40.8151751887546,2014,3,1010837,236282,1.0
-73.90428743268166,40.8212165998022,2014,3,1010741,238483,1.0
